  PID  PPID  %CPU    RSS COMM
  630     1   0.1  28656 /usr/libexec/UserEventAgent
  631     1   0.0   9376 /usr/libexec/gamecontrollerd
  632     1   7.1  45888 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
  633     1   0.0   6208 /usr/libexec/seld
  634     1   0.0   7312 /usr/libexec/uarpd
  636     1   0.0  41056 /usr/libexec/knowledge-agent
  637     1   0.0  67504 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
  638     1   0.0  23088 /usr/sbin/universalaccessd
  639     1   0.0  18592 /usr/libexec/neagent
  640     1   0.0  17696 /usr/libexec/pboard
  641     1   0.0  32528 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
  642     1   0.0  59344 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
  643     1   0.0  23072 /System/Library/PrivateFrameworks/GenerativeExperiencesRuntime.framework/Versions/A/generativeexperiencesd
  644     1   0.0  13056 /usr/libexec/containermanagerd
  645     1   0.0  15360 /usr/libexec/findmydeviced
  646     1   0.0  24048 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
  647     1   0.0  39776 /usr/libexec/lsd
  648     1   0.0  12016 /usr/libexec/findmydevice-user-agent
  649     1   0.0  37200 /usr/libexec/linkd
  650     1   0.0  22592 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Support/BackgroundTaskManagementAgent.app/Contents/MacOS/BackgroundTaskManagementAgent
  651     1   0.0 139840 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  652     1   0.6  27840 /usr/libexec/trustd
  653     1   0.0  65568 /System/Library/PrivateFrameworks/AccessibilitySupport.framework/Versions/A/Resources/AccessibilityVisualsAgent.app/Contents/MacOS/AccessibilityVisualsAgent
  654     1   0.0  88960 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  655     1   0.0   5776 /usr/sbin/distnoted
  656     1   0.0  41776 /usr/libexec/rapportd
  657     1   0.0  65984 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
  658     1   0.0  57168 /usr/libexec/siriknowledged
  659     1   0.0 117664 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  660     1   0.0  20832 /System/Library/PrivateFrameworks/SiriTTSService.framework/sirittsd
  661     1   0.0  55712 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  663     1  51.1 2223408 /Users/boj/Applications/iTerm.app/Contents/MacOS/iTerm2
  664     1   0.0   8016 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
