id	title	source_page	pdf_url	status	reading_status
mlsys2025-698cfaf72a208aef2e78bcac55b74328	FlexInfer: Flexible LLM Inference with CPU Computations	https://proceedings.mlsys.org/paper_files/paper/2025/hash/698cfaf72a208aef2e78bcac55b74328-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/698cfaf72a208aef2e78bcac55b74328-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-703f727ec10190b2fddcf8e24f52df48	Know Where You’re Uncertain When Planning with Multimodal Foundation Models: A Formal Framework	https://proceedings.mlsys.org/paper_files/paper/2025/hash/703f727ec10190b2fddcf8e24f52df48-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/703f727ec10190b2fddcf8e24f52df48-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-75bb91b908e6924763c9f2bbe87e921e	Supply-Chain Attacks in Machine Learning Frameworks	https://proceedings.mlsys.org/paper_files/paper/2025/hash/75bb91b908e6924763c9f2bbe87e921e-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/75bb91b908e6924763c9f2bbe87e921e-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-78834433edc3291f4c6cbbd2759324db	Context Parallelism for Scalable Million-Token Inference	https://proceedings.mlsys.org/paper_files/paper/2025/hash/78834433edc3291f4c6cbbd2759324db-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/78834433edc3291f4c6cbbd2759324db-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-7c180af017258d239bac6248d1eb26ac	Marconi: Prefix Caching for the Era of Hybrid LLMs	https://proceedings.mlsys.org/paper_files/paper/2025/hash/7c180af017258d239bac6248d1eb26ac-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/7c180af017258d239bac6248d1eb26ac-Paper-Conference.pdf	downloaded	selected_sections_read
mlsys2025-7fd522b89ac21009b7bbe7560a9a5add	Venn: Resource Management For Collaborative Learning Jobs	https://proceedings.mlsys.org/paper_files/paper/2025/hash/7fd522b89ac21009b7bbe7560a9a5add-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/7fd522b89ac21009b7bbe7560a9a5add-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-8144a9d62e506af0fcdeac0e456b2710	On Distributed Larger-Than-Memory Subset Selection With Pairwise Submodular Functions	https://proceedings.mlsys.org/paper_files/paper/2025/hash/8144a9d62e506af0fcdeac0e456b2710-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/8144a9d62e506af0fcdeac0e456b2710-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-8cb5b08f912600de3de07c6503599ba8	Lightweight Software Kernels and Hardware Extensions for Efficient Sparse Deep Neural Networks on Microcontrollers	https://proceedings.mlsys.org/paper_files/paper/2025/hash/8cb5b08f912600de3de07c6503599ba8-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/8cb5b08f912600de3de07c6503599ba8-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-9032e5c9ec394ce768a2fa9bdc56af6c	MiLo: Efficient Quantized MoE Inference with Mixture of Low-Rank Compensators	https://proceedings.mlsys.org/paper_files/paper/2025/hash/9032e5c9ec394ce768a2fa9bdc56af6c-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/9032e5c9ec394ce768a2fa9bdc56af6c-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-96894468eb44631a32d7ebd56f9892c7	FastTree: Optimizing Attention Kernel and Runtime for Tree-Structured LLM Inference	https://proceedings.mlsys.org/paper_files/paper/2025/hash/96894468eb44631a32d7ebd56f9892c7-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/96894468eb44631a32d7ebd56f9892c7-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-96f39c8de84678cb2a908cd52bfd7819	FedProphet: Memory-Efficient Federated Adversarial Training via Robust and Consistent Cascade Learning	https://proceedings.mlsys.org/paper_files/paper/2025/hash/96f39c8de84678cb2a908cd52bfd7819-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/96f39c8de84678cb2a908cd52bfd7819-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-9de62e421d58234dbf773abf43268630	LAVA: Lifetime-Aware VM Allocation with Learned Distributions and Adaptation to Mispredictions	https://proceedings.mlsys.org/paper_files/paper/2025/hash/9de62e421d58234dbf773abf43268630-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/9de62e421d58234dbf773abf43268630-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-9f73d65a4186198152357be871345771	Scaling Deep Learning Training with MPMD Pipeline Parallelism	https://proceedings.mlsys.org/paper_files/paper/2025/hash/9f73d65a4186198152357be871345771-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/9f73d65a4186198152357be871345771-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-a2fe4bb50fc6f3564cee1551d6309fea	ScaleFusion: Scalable Inference of Spatial-Temporal Diffusion Transformers for High-Resolution Long Video Generation	https://proceedings.mlsys.org/paper_files/paper/2025/hash/a2fe4bb50fc6f3564cee1551d6309fea-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/a2fe4bb50fc6f3564cee1551d6309fea-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-a66caa1703fe34705a4368c3014c1966	Lumos: Efficient Performance Modeling and Estimation for Large-scale LLM Training	https://proceedings.mlsys.org/paper_files/paper/2025/hash/a66caa1703fe34705a4368c3014c1966-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/a66caa1703fe34705a4368c3014c1966-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-af2d9fb5bcee19ef2dfa70d843520c97	Self-Data Distillation for Recovering Quality in Pruned Large Language Models	https://proceedings.mlsys.org/paper_files/paper/2025/hash/af2d9fb5bcee19ef2dfa70d843520c97-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/af2d9fb5bcee19ef2dfa70d843520c97-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-afd6374c7f2839cba22f537f15f4f760	Efficient LLM Inference using Dynamic Input Pruning and Cache-Aware Masking	https://proceedings.mlsys.org/paper_files/paper/2025/hash/afd6374c7f2839cba22f537f15f4f760-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/afd6374c7f2839cba22f537f15f4f760-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-b0131b6ee02a00b03fc3320176fec8f5	Efficient On-Device Machine Learning with a Biologically-Plausible Forward-Only Algorithm	https://proceedings.mlsys.org/paper_files/paper/2025/hash/b0131b6ee02a00b03fc3320176fec8f5-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/b0131b6ee02a00b03fc3320176fec8f5-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-b5dc49f44db2fadc5c4d717c57f4a424	Optimizing LLM Queries in Relational Data Analytics Workloads	https://proceedings.mlsys.org/paper_files/paper/2025/hash/b5dc49f44db2fadc5c4d717c57f4a424-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/b5dc49f44db2fadc5c4d717c57f4a424-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-bc82dbfbfa43232be85b8d9838f49c3e	SOLA: Optimizing SLO Attainment for Large Language Model Serving with State-Aware Scheduling	https://proceedings.mlsys.org/paper_files/paper/2025/hash/bc82dbfbfa43232be85b8d9838f49c3e-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/bc82dbfbfa43232be85b8d9838f49c3e-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-c2a0e26dd9ee7d57e92bb1c24b39659a	ThunderServe: High-performance and Cost-efficient LLM Serving in Cloud Environments	https://proceedings.mlsys.org/paper_files/paper/2025/hash/c2a0e26dd9ee7d57e92bb1c24b39659a-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/c2a0e26dd9ee7d57e92bb1c24b39659a-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-c6ee784cbe46d854843e4c883a3321ef	TileLink: Generating Efficient Compute-Communication Overlapping Kernels using Tile-Centric Primitives	https://proceedings.mlsys.org/paper_files/paper/2025/hash/c6ee784cbe46d854843e4c883a3321ef-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/c6ee784cbe46d854843e4c883a3321ef-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-cbc4ab80cd77aa0eb87da062fbcddb46	Seesaw: High-throughput LLM Inference via Model Re-sharding	https://proceedings.mlsys.org/paper_files/paper/2025/hash/cbc4ab80cd77aa0eb87da062fbcddb46-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/cbc4ab80cd77aa0eb87da062fbcddb46-Paper-Conference.pdf	downloaded	abstract_screened
