layer,name,category,shapes,matrix_flops,scalar_flops,special_ops,weight_read_bytes,activation_read_bytes,activation_write_bytes,notes,repeats
aggregate; see repeats,expert_206_up,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_206_down,linear,"{""input"": [256, 2048], ""weight_math"": [2048, 7168], ""weight_storage"": [7168, 2048], ""output"": [256, 7168]}",7516192768,0,{},29360128,1048576,3670016,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_206_silu_and_product,activation,"{""gate_and_up"": [256, 2048]}",0,1048576,"{""sigmoid"": 524288}",0,2097152,1048576,"SiLU multiply and gated product; sigmoid is a separate primitive, fused logical interface.",58
aggregate; see repeats,expert_207_gate,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_207_up,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_207_down,linear,"{""input"": [256, 2048], ""weight_math"": [2048, 7168], ""weight_storage"": [7168, 2048], ""output"": [256, 7168]}",7516192768,0,{},29360128,1048576,3670016,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_207_silu_and_product,activation,"{""gate_and_up"": [256, 2048]}",0,1048576,"{""sigmoid"": 524288}",0,2097152,1048576,"SiLU multiply and gated product; sigmoid is a separate primitive, fused logical interface.",58
aggregate; see repeats,expert_208_gate,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_208_up,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_208_down,linear,"{""input"": [256, 2048], ""weight_math"": [2048, 7168], ""weight_storage"": [7168, 2048], ""output"": [256, 7168]}",7516192768,0,{},29360128,1048576,3670016,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_208_silu_and_product,activation,"{""gate_and_up"": [256, 2048]}",0,1048576,"{""sigmoid"": 524288}",0,2097152,1048576,"SiLU multiply and gated product; sigmoid is a separate primitive, fused logical interface.",58
aggregate; see repeats,expert_209_gate,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_209_up,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_209_down,linear,"{""input"": [256, 2048], ""weight_math"": [2048, 7168], ""weight_storage"": [7168, 2048], ""output"": [256, 7168]}",7516192768,0,{},29360128,1048576,3670016,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_209_silu_and_product,activation,"{""gate_and_up"": [256, 2048]}",0,1048576,"{""sigmoid"": 524288}",0,2097152,1048576,"SiLU multiply and gated product; sigmoid is a separate primitive, fused logical interface.",58
aggregate; see repeats,expert_210_gate,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_210_up,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_210_down,linear,"{""input"": [256, 2048], ""weight_math"": [2048, 7168], ""weight_storage"": [7168, 2048], ""output"": [256, 7168]}",7516192768,0,{},29360128,1048576,3670016,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_210_silu_and_product,activation,"{""gate_and_up"": [256, 2048]}",0,1048576,"{""sigmoid"": 524288}",0,2097152,1048576,"SiLU multiply and gated product; sigmoid is a separate primitive, fused logical interface.",58
aggregate; see repeats,expert_211_gate,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_211_up,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_211_down,linear,"{""input"": [256, 2048], ""weight_math"": [2048, 7168], ""weight_storage"": [7168, 2048], ""output"": [256, 7168]}",7516192768,0,{},29360128,1048576,3670016,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_211_silu_and_product,activation,"{""gate_and_up"": [256, 2048]}",0,1048576,"{""sigmoid"": 524288}",0,2097152,1048576,"SiLU multiply and gated product; sigmoid is a separate primitive, fused logical interface.",58
aggregate; see repeats,expert_212_gate,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_212_up,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_212_down,linear,"{""input"": [256, 2048], ""weight_math"": [2048, 7168], ""weight_storage"": [7168, 2048], ""output"": [256, 7168]}",7516192768,0,{},29360128,1048576,3670016,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_212_silu_and_product,activation,"{""gate_and_up"": [256, 2048]}",0,1048576,"{""sigmoid"": 524288}",0,2097152,1048576,"SiLU multiply and gated product; sigmoid is a separate primitive, fused logical interface.",58
aggregate; see repeats,expert_213_gate,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_213_up,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_213_down,linear,"{""input"": [256, 2048], ""weight_math"": [2048, 7168], ""weight_storage"": [7168, 2048], ""output"": [256, 7168]}",7516192768,0,{},29360128,1048576,3670016,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_213_silu_and_product,activation,"{""gate_and_up"": [256, 2048]}",0,1048576,"{""sigmoid"": 524288}",0,2097152,1048576,"SiLU multiply and gated product; sigmoid is a separate primitive, fused logical interface.",58
aggregate; see repeats,expert_214_gate,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_214_up,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_214_down,linear,"{""input"": [256, 2048], ""weight_math"": [2048, 7168], ""weight_storage"": [7168, 2048], ""output"": [256, 7168]}",7516192768,0,{},29360128,1048576,3670016,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_214_silu_and_product,activation,"{""gate_and_up"": [256, 2048]}",0,1048576,"{""sigmoid"": 524288}",0,2097152,1048576,"SiLU multiply and gated product; sigmoid is a separate primitive, fused logical interface.",58
aggregate; see repeats,expert_215_gate,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_215_up,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_215_down,linear,"{""input"": [256, 2048], ""weight_math"": [2048, 7168], ""weight_storage"": [7168, 2048], ""output"": [256, 7168]}",7516192768,0,{},29360128,1048576,3670016,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_215_silu_and_product,activation,"{""gate_and_up"": [256, 2048]}",0,1048576,"{""sigmoid"": 524288}",0,2097152,1048576,"SiLU multiply and gated product; sigmoid is a separate primitive, fused logical interface.",58
aggregate; see repeats,expert_216_gate,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_216_up,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_216_down,linear,"{""input"": [256, 2048], ""weight_math"": [2048, 7168], ""weight_storage"": [7168, 2048], ""output"": [256, 7168]}",7516192768,0,{},29360128,1048576,3670016,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_216_silu_and_product,activation,"{""gate_and_up"": [256, 2048]}",0,1048576,"{""sigmoid"": 524288}",0,2097152,1048576,"SiLU multiply and gated product; sigmoid is a separate primitive, fused logical interface.",58
aggregate; see repeats,expert_217_gate,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_217_up,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_217_down,linear,"{""input"": [256, 2048], ""weight_math"": [2048, 7168], ""weight_storage"": [7168, 2048], ""output"": [256, 7168]}",7516192768,0,{},29360128,1048576,3670016,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_217_silu_and_product,activation,"{""gate_and_up"": [256, 2048]}",0,1048576,"{""sigmoid"": 524288}",0,2097152,1048576,"SiLU multiply and gated product; sigmoid is a separate primitive, fused logical interface.",58
aggregate; see repeats,expert_218_gate,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_218_up,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_218_down,linear,"{""input"": [256, 2048], ""weight_math"": [2048, 7168], ""weight_storage"": [7168, 2048], ""output"": [256, 7168]}",7516192768,0,{},29360128,1048576,3670016,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_218_silu_and_product,activation,"{""gate_and_up"": [256, 2048]}",0,1048576,"{""sigmoid"": 524288}",0,2097152,1048576,"SiLU multiply and gated product; sigmoid is a separate primitive, fused logical interface.",58
aggregate; see repeats,expert_219_gate,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_219_up,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_219_down,linear,"{""input"": [256, 2048], ""weight_math"": [2048, 7168], ""weight_storage"": [7168, 2048], ""output"": [256, 7168]}",7516192768,0,{},29360128,1048576,3670016,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_219_silu_and_product,activation,"{""gate_and_up"": [256, 2048]}",0,1048576,"{""sigmoid"": 524288}",0,2097152,1048576,"SiLU multiply and gated product; sigmoid is a separate primitive, fused logical interface.",58
aggregate; see repeats,expert_220_gate,linear,"{""input"": [256, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [256, 2048]}",7516192768,0,{},29360128,3670016,1048576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
